model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
GRU_deep,recurrent,5,1,0.011427,0.011495,0.012298,101655
GRU_deep,recurrent,5,5,0.005269,0.005384,0.005681,101655
GRU_deep,recurrent,5,30,0.002175,0.002147,0.002339,101655
GRU_deep,recurrent,5,90,0.001238,0.001278,0.001265,101655
GRU_deep,recurrent,10,1,0.011342,0.011936,0.012746,101655
GRU_deep,recurrent,10,5,0.00513,0.005244,0.005798,101655
GRU_deep,recurrent,10,30,0.002102,0.002098,0.002366,101655
GRU_deep,recurrent,10,90,0.001237,0.001256,0.001268,101655
GRU_deep,recurrent,30,1,0.011329,0.011839,0.012511,101655
GRU_deep,recurrent,30,5,0.00474,0.004886,0.006182,101655
GRU_deep,recurrent,30,30,0.002163,0.002148,0.002325,101655
GRU_deep,recurrent,30,90,0.00124,0.001246,0.001281,101655
GRU_deep,recurrent,90,1,0.011286,0.011702,0.012568,101655
GRU_deep,recurrent,90,5,0.004579,0.004849,0.006423,101655
GRU_deep,recurrent,90,30,0.002154,0.002156,0.002343,101655
GRU_deep,recurrent,90,90,0.001227,0.001231,0.001271,101655
